Date,Adj Close,Open,High,Low,Vol.,Change %
10-Dec-20,0.875,0.875,0.89,0.865,22.21M,0.00%
9-Dec-20,0.875,0.9,0.955,0.86,204.81M,-0.57%
8-Dec-20,0.88,0.845,0.89,0.825,89.44M,7.32%
7-Dec-20,0.82,0.79,0.84,0.785,70.12M,7.19%
4-Dec-20,0.765,0.755,0.815,0.745,94.26M,2.00%
3-Dec-20,0.75,0.765,0.775,0.74,43.93M,-1.32%
2-Dec-20,0.76,0.725,0.765,0.715,43.15M,4.83%
1-Dec-20,0.725,0.72,0.73,0.715,10.84M,2.11%
30-Nov-20,0.71,0.73,0.74,0.71,30.46M,-2.07%
27-Nov-20,0.725,0.735,0.745,0.72,18.12M,-1.36%
26-Nov-20,0.735,0.735,0.745,0.715,21.43M,0.68%
25-Nov-20,0.73,0.725,0.775,0.71,63.88M,2.82%
24-Nov-20,0.71,0.715,0.74,0.71,24.15M,0.00%
23-Nov-20,0.71,0.72,0.72,0.71,13.07M,-0.70%
20-Nov-20,0.715,0.72,0.745,0.7,27.40M,-0.69%
19-Nov-20,0.72,0.72,0.755,0.715,24.81M,-0.69%
18-Nov-20,0.725,0.74,0.745,0.705,59.65M,-5.23%
17-Nov-20,0.765,0.78,0.84,0.76,130.95M,2.00%
16-Nov-20,0.75,0.67,0.75,0.66,114.87M,13.64%
13-Nov-20,0.66,0.67,0.675,0.655,13.14M,-1.49%
12-Nov-20,0.67,0.645,0.685,0.625,34.37M,3.88%
11-Nov-20,0.645,0.68,0.69,0.64,21.84M,-5.15%
10-Nov-20,0.68,0.72,0.73,0.64,157.24M,27.10%
9-Nov-20,0.535,0.54,0.54,0.525,3.66M,-3.60%
6-Nov-20,0.555,0.555,0.56,0.54,4.27M,0.91%
5-Nov-20,0.55,0.54,0.555,0.535,3.49M,2.80%
4-Nov-20,0.535,0.52,0.54,0.52,4.07M,2.88%
3-Nov-20,0.52,0.52,0.525,0.51,3.49M,0.00%
2-Nov-20,0.52,0.56,0.57,0.51,12.55M,-5.45%
30-Oct-20,0.55,0.55,0.555,0.53,9.30M,-0.90%
28-Oct-20,0.555,0.555,0.56,0.55,3.57M,-0.89%
27-Oct-20,0.56,0.56,0.565,0.555,2.89M,-0.88%
26-Oct-20,0.565,0.565,0.575,0.56,5.14M,0.00%
23-Oct-20,0.565,0.6,0.61,0.565,16.85M,1.80%
22-Oct-20,0.555,0.575,0.585,0.555,24.93M,-3.48%
21-Oct-20,0.575,0.575,0.59,0.575,5.79M,0.00%
20-Oct-20,0.575,0.58,0.585,0.575,6.69M,-1.71%
19-Oct-20,0.585,0.59,0.595,0.58,6.08M,-0.85%
16-Oct-20,0.59,0.59,0.595,0.585,6.82M,0.00%
15-Oct-20,0.59,0.59,0.6,0.585,4.98M,-0.84%
14-Oct-20,0.595,0.6,0.62,0.59,19.21M,-1.65%
13-Oct-20,0.605,0.59,0.69,0.57,121.55M,1.68%
12-Oct-20,0.595,0.61,0.61,0.59,13.09M,-1.65%
9-Oct-20,0.605,0.61,0.62,0.605,7.09M,-1.63%
8-Oct-20,0.615,0.625,0.635,0.615,6.45M,-3.15%
7-Oct-20,0.635,0.63,0.64,0.62,7.57M,-0.78%
6-Oct-20,0.64,0.64,0.655,0.635,7.90M,-0.78%
5-Oct-20,0.645,0.645,0.66,0.64,5.54M,-0.77%
2-Oct-20,0.65,0.66,0.67,0.65,8.68M,-2.99%
1-Oct-20,0.67,0.67,0.68,0.665,4.63M,0.00%
30-Sep-20,0.67,0.67,0.685,0.665,8.87M,0.00%
29-Sep-20,0.67,0.675,0.685,0.665,7.09M,-0.74%
28-Sep-20,0.675,0.67,0.685,0.65,14.02M,0.75%
25-Sep-20,0.67,0.655,0.67,0.645,6.66M,3.08%
24-Sep-20,0.65,0.65,0.655,0.64,7.49M,0.00%
23-Sep-20,0.65,0.65,0.655,0.645,6.29M,0.00%
22-Sep-20,0.65,0.64,0.66,0.635,6.03M,0.00%
21-Sep-20,0.65,0.635,0.665,0.635,7.21M,0.78%
18-Sep-20,0.645,0.655,0.675,0.64,9.74M,-1.53%
17-Sep-20,0.655,0.65,0.665,0.645,6.01M,0.00%
15-Sep-20,0.655,0.65,0.66,0.64,5.65M,0.00%
14-Sep-20,0.655,0.66,0.665,0.635,6.01M,-0.76%
11-Sep-20,0.66,0.62,0.66,0.61,11.92M,4.76%
10-Sep-20,0.63,0.635,0.64,0.62,12.78M,0.80%
9-Sep-20,0.625,0.655,0.655,0.62,16.68M,-5.30%
8-Sep-20,0.66,0.66,0.67,0.655,14.01M,0.00%
