"Date","Adj Close","Open","High","Low","Vol.","Change %"
"Aug 21, 2020","3.57","3.68","3.70","3.54","55.35M","-6.05%"
"Aug 19, 2020","3.80","3.89","3.90","3.78","5.62M","-2.31%"
"Aug 18, 2020","3.89","3.95","3.95","3.86","4.04M","-0.77%"
"Aug 17, 2020","3.92","3.96","3.96","3.89","2.77M","-0.76%"
"Aug 14, 2020","3.95","4.02","4.03","3.91","5.47M","-1.74%"
"Aug 13, 2020","4.02","4.01","4.09","3.96","10.35M","1.26%"
"Aug 12, 2020","3.97","3.75","4.03","3.74","22.62M","6.72%"
"Aug 11, 2020","3.72","3.72","3.77","3.71","6.57M","0.54%"
"Aug 10, 2020","3.70","3.75","3.79","3.70","6.15M","-0.80%"
"Aug 08, 2020","3.73","3.68","3.73","3.68","4.59M","-0.53%"
"Aug 07, 2020","3.75","3.72","3.88","3.71","3.96M","1.35%"
"Aug 06, 2020","3.70","3.70","3.72","3.68","4.76M","0.00%"
"Aug 05, 2020","3.70","3.73","3.74","3.68","6.03M","-0.80%"
"Aug 04, 2020","3.73","3.67","3.80","3.67","7.55M","1.91%"
"Aug 03, 2020","3.66","3.83","3.84","3.65","13.12M","-4.44%"
"Jul 30, 2020","3.83","3.85","3.88","3.83","4.69M","-0.52%"
"Jul 29, 2020","3.85","3.85","3.88","3.83","4.93M","-0.26%"
"Jul 28, 2020","3.86","3.87","3.89","3.82","8.77M","-0.26%"
"Jul 27, 2020","3.87","3.91","3.91","3.87","6.33M","-2.27%"
"Jul 24, 2020","3.96","3.95","3.96","3.89","6.31M","0.51%"
"Jul 23, 2020","3.94","3.88","3.98","3.88","3.69M","1.81%"
"Jul 22, 2020","3.87","3.95","3.95","3.87","11.15M","-2.03%"
"Jul 21, 2020","3.95","4.00","4.00","3.94","11.06M","-1.25%"
"Jul 20, 2020","4.00","4.06","4.06","3.99","8.41M","-1.48%"
"Jul 17, 2020","4.06","4.08","4.10","4.05","6.42M","-0.49%"
"Jul 16, 2020","4.08","4.10","4.12","4.06","4.87M","-0.24%"
"Jul 15, 2020","4.09","4.09","4.12","4.08","5.13M","0.25%"
"Jul 14, 2020","4.08","4.14","4.14","4.07","8.04M","-0.97%"
"Jul 13, 2020","4.12","4.10","4.17","4.10","7.26M","0.73%"
"Jul 10, 2020","4.09","4.12","4.12","4.06","11.07M","-0.73%"
"Jul 09, 2020","4.12","4.16","4.16","4.12","5.51M","-0.72%"
"Jul 08, 2020","4.15","4.15","4.17","4.13","3.89M","0.00%"
"Jul 07, 2020","4.15","4.21","4.23","4.12","6.29M","-1.19%"
"Jul 06, 2020","4.20","4.21","4.23","4.12","7.41M","0.24%"
"Jul 03, 2020","4.19","4.22","4.24","4.16","4.27M","-0.48%"
"Jul 02, 2020","4.21","4.10","4.21","4.09","8.24M","3.19%"
"Jul 01, 2020","4.08","4.11","4.13","4.07","6.15M","-0.49%"
"Jun 30, 2020","4.10","4.17","4.23","4.09","6.71M","-1.20%"
"Jun 29, 2020","4.15","4.10","4.15","4.06","7.42M","-0.95%"
"Jun 26, 2020","4.19","4.23","4.26","4.16","8.43M","0.00%"
"Jun 25, 2020","4.19","4.25","4.25","4.18","6.74M","-1.87%"
"Jun 24, 2020","4.27","4.33","4.34","4.26","4.23M","-1.61%"
"Jun 23, 2020","4.34","4.35","4.36","4.26","7.04M","0.46%"
"Jun 22, 2020","4.32","4.35","4.38","4.28","6.99M","-0.46%"
"Jun 19, 2020","4.34","4.46","4.50","4.34","13.28M","-2.69%"
"Jun 18, 2020","4.46","4.64","4.75","4.42","25.05M","-0.89%"
"Jun 17, 2020","4.50","4.45","4.55","4.35","17.30M","3.93%"
"Jun 16, 2020","4.33","4.26","4.40","4.26","11.69M","3.59%"
"Jun 15, 2020","4.18","4.40","4.40","4.17","13.62M","-5.22%"
"Jun 12, 2020","4.41","4.25","4.43","4.20","12.62M","-0.45%"
"Jun 11, 2020","4.43","4.60","4.65","4.40","13.94M","-3.70%"
"Jun 10, 2020","4.60","4.77","4.78","4.58","15.90M","-3.56%"
"Jun 09, 2020","4.77","4.49","4.95","4.49","21.95M","8.66%"
"Jun 05, 2020","4.39","4.40","4.45","4.36","7.92M","-0.90%"
"Jun 04, 2020","4.43","4.43","4.55","4.36","13.09M","0.00%"
"Jun 03, 2020","4.43","4.50","4.59","4.33","12.38M","0.00%"
"Jun 02, 2020","4.43","4.01","4.48","4.00","18.32M","10.75%"
