Date,Adj Close,Open,High,Low,Vol.,Change %
11-Dec-20,8.82,8.4,8.85,8.4,13.29M,0.00%
10-Dec-20,8.38,8.4,8.5,8.38,7.79M,0.00%
9-Dec-20,8.38,8.26,8.42,8.2,8.83M,1.70%
8-Dec-20,8.24,8.27,8.29,8.22,3.31M,-0.36%
7-Dec-20,8.27,8.23,8.3,8.23,4.36M,0.85%
4-Dec-20,8.2,8.3,8.34,8.2,4.88M,-1.20%
3-Dec-20,8.3,8.27,8.33,7.98,8.04M,0.36%
2-Dec-20,8.27,8.22,8.3,8.16,9.45M,0.98%
1-Dec-20,8.19,8.02,8.24,8.02,6.81M,3.67%
30-Nov-20,7.9,8.29,8.3,7.9,17.45M,-4.70%
27-Nov-20,8.29,8.19,8.35,8.12,9.38M,1.22%
26-Nov-20,8.19,8.2,8.2,8.14,3.54M,-0.36%
25-Nov-20,8.22,8.15,8.24,8.13,9.65M,1.11%
24-Nov-20,8.13,8.1,8.19,8.1,7.59M,0.37%
23-Nov-20,8.1,8.11,8.15,8.05,7.87M,-0.74%
20-Nov-20,8.16,8.08,8.24,8.02,6.94M,0.74%
19-Nov-20,8.1,8.19,8.19,8,9.31M,-1.58%
18-Nov-20,8.23,8.3,8.3,8.12,13.47M,-0.84%
17-Nov-20,8.3,8.18,8.35,8.16,15.75M,1.97%
16-Nov-20,8.14,7.93,8.15,7.83,12.78M,2.65%
13-Nov-20,7.93,7.75,7.93,7.66,10.65M,1.67%
12-Nov-20,7.8,7.68,7.85,7.6,17.05M,1.43%
11-Nov-20,7.69,7.66,7.69,7.45,11.14M,0.39%
10-Nov-20,7.66,7.23,7.66,7.23,30.40M,7.58%
9-Nov-20,7.12,7.18,7.26,7.07,4.11M,-0.84%
6-Nov-20,7.18,7.08,7.19,7.06,5.18M,1.41%
5-Nov-20,7.08,7.03,7.08,7.02,4.91M,1.14%
4-Nov-20,7,7.02,7.09,6.99,2.22M,0.00%
3-Nov-20,7,7.01,7.04,6.97,6.80M,-0.14%
2-Nov-20,7.01,7,7.03,6.96,4.83M,0.14%
30-Oct-20,7,7.07,7.09,7,8.68M,-0.99%
28-Oct-20,7.07,7.08,7.1,7.06,2.93M,0.00%
27-Oct-20,7.07,7.08,7.11,7.07,6.01M,-0.14%
