"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19, 2020","7.64","7.65","7.69","7.61","4.71M","0.13%"
"Aug 18, 2020","7.63","7.81","7.84","7.59","5.32M","-2.30%"
"Aug 17, 2020","7.81","7.80","7.87","7.80","3.56M","0.13%"
"Aug 14, 2020","7.80","7.81","7.85","7.77","5.37M","0.00%"
"Aug 13, 2020","7.80","7.74","7.83","7.73","4.03M","1.96%"
"Aug 12, 2020","7.65","7.49","7.70","7.49","2.80M","2.14%"
"Aug 11, 2020","7.49","7.50","7.60","7.49","3.94M","-0.40%"
"Aug 10, 2020","7.52","7.51","7.58","7.50","3.43M","-1.05%"
"Aug 08, 2020","7.60","7.56","7.60","7.55","2.40M","1.33%"
"Aug 07, 2020","7.50","7.52","7.60","7.50","2.38M","-0.27%"
"Aug 06, 2020","7.52","7.52","7.55","7.50","3.43M","0.67%"
"Aug 05, 2020","7.47","7.51","7.52","7.47","6.28M","-0.40%"
"Aug 04, 2020","7.50","7.52","7.61","7.50","5.74M","0.00%"
"Aug 03, 2020","7.50","7.50","7.66","7.50","7.29M","-2.22%"
"Jul 30, 2020","7.67","7.75","7.78","7.58","9.11M","-1.03%"
"Jul 29, 2020","7.75","7.83","7.87","7.71","5.62M","-1.02%"
"Jul 28, 2020","7.83","7.82","7.85","7.81","5.55M","0.13%"
"Jul 27, 2020","7.82","7.85","7.89","7.81","2.03M","-0.38%"
"Jul 24, 2020","7.85","7.88","7.88","7.83","5.22M","-0.38%"
"Jul 23, 2020","7.88","7.87","7.89","7.83","4.59M","0.38%"
"Jul 22, 2020","7.85","7.85","7.89","7.83","4.65M","-0.13%"
"Jul 21, 2020","7.86","7.82","7.90","7.82","4.50M","0.51%"
"Jul 20, 2020","7.82","7.94","7.94","7.80","5.52M","-1.51%"
"Jul 17, 2020","7.94","7.78","7.96","7.78","7.16M","1.53%"
"Jul 16, 2020","7.82","7.86","7.91","7.81","4.36M","-1.14%"
"Jul 15, 2020","7.91","7.87","7.95","7.85","9.01M","0.64%"
"Jul 14, 2020","7.86","7.89","7.91","7.81","6.00M","-0.38%"
"Jul 13, 2020","7.89","7.90","7.93","7.85","4.40M","-0.13%"
"Jul 10, 2020","7.90","7.89","7.95","7.83","6.08M","-0.13%"
"Jul 09, 2020","7.91","7.92","7.98","7.84","10.70M","0.00%"
"Jul 08, 2020","7.91","7.80","7.94","7.77","9.80M","1.15%"
"Jul 07, 2020","7.82","7.83","7.89","7.75","9.49M","-0.13%"
"Jul 06, 2020","7.83","7.70","7.83","7.70","3.26M","1.56%"
"Jul 03, 2020","7.71","7.68","7.77","7.66","2.72M","1.18%"
"Jul 02, 2020","7.62","7.52","7.70","7.52","6.60M","1.33%"
"Jul 01, 2020","7.52","7.52","7.55","7.51","3.57M","0.13%"
"Jun 30, 2020","7.51","7.53","7.61","7.51","6.57M","-0.27%"
"Jun 29, 2020","7.53","7.61","7.61","7.51","4.66M","-1.18%"
"Jun 26, 2020","7.62","7.62","7.65","7.61","2.40M","0.13%"
"Jun 25, 2020","7.61","7.61","7.63","7.60","3.36M","-0.39%"
"Jun 24, 2020","7.64","7.66","7.66","7.61","3.12M","-0.13%"
"Jun 23, 2020","7.65","7.68","7.70","7.62","2.93M","-0.13%"
"Jun 22, 2020","7.66","7.65","7.68","7.61","3.02M","0.00%"
"Jun 19, 2020","7.66","7.70","7.73","7.66","13.70M","-0.65%"
"Jun 18, 2020","7.71","7.75","7.78","7.68","7.33M","-0.77%"
"Jun 17, 2020","7.77","7.84","7.84","7.71","3.46M","0.13%"
"Jun 16, 2020","7.76","7.79","7.85","7.76","5.87M","0.78%"
"Jun 15, 2020","7.70","7.89","7.90","7.70","8.63M","-2.65%"
"Jun 12, 2020","7.91","7.80","7.93","7.70","7.36M","-2.10%"
"Jun 11, 2020","8.08","8.20","8.20","7.90","8.40M","-1.46%"
"Jun 10, 2020","8.20","8.19","8.20","8.13","6.30M","0.00%"
"Jun 09, 2020","8.20","8.20","8.20","8.11","10.90M","1.49%"
"Jun 05, 2020","8.08","8.15","8.15","7.97","10.09M","-1.34%"
"Jun 04, 2020","8.19","8.08","8.20","8.04","14.80M","2.63%"
"Jun 03, 2020","7.98","7.53","8.00","7.53","14.94M","6.26%"
"Jun 02, 2020","7.51","7.48","7.58","7.45","7.37M","0.40%"
"Jun 01, 2020","7.48","7.50","7.52","7.44","4.35M","-0.27%"
"May 29, 2020","7.50","7.40","7.53","7.39","15.32M","1.21%"
"May 28, 2020","7.41","7.40","7.42","7.38","7.07M","0.14%"
"May 27, 2020","7.40","7.41","7.45","7.38","10.83M","-0.40%"
"May 22, 2020","7.43","7.52","7.56","7.42","7.05M","-1.07%"
"May 21, 2020","7.51","7.50","7.66","7.50","6.72M","0.27%"
"May 20, 2020","7.49","7.48","7.52","7.45","2.98M","0.54%"
"May 19, 2020","7.45","7.48","7.52","7.45","5.31M","0.54%"
"May 18, 2020","7.41","7.42","7.48","7.41","3.75M","0.14%"
"May 15, 2020","7.40","7.42","7.47","7.40","2.74M","0.00%"
"May 14, 2020","7.40","7.40","7.44","7.38","3.83M","0.14%"
"May 13, 2020","7.39","7.44","7.45","7.39","5.63M","-0.67%"
"May 12, 2020","7.44","7.41","7.47","7.41","5.22M","0.40%"
"May 08, 2020","7.41","7.40","7.46","7.40","7.31M","0.00%"
