Date,Adj Close,Open,High,Low,Vol.,Change %
8-Dec-20,3.91,3.96,4.09,3.85,22.29K,-3.93%
2-Dec-20,4.07,4.07,4.07,4.07,-,-9.35%
30-Nov-20,4.49,3.53,4.49,3.53,1.37K,-2.18%
19-Nov-20,4.59,4.59,4.59,4.59,-,15.33%
16-Nov-20,3.98,3.9,3.98,3.9,0.43K,0.76%
30-Oct-20,3.95,3.95,3.95,3.95,-,11.27%
28-Oct-20,3.55,3.55,3.55,3.55,-,-0.70%
27-Oct-20,3.575,3.45,3.575,3.45,3.74K,0.14%
23-Oct-20,3.57,3.57,3.57,3.57,-,3.63%
21-Oct-20,3.445,3.445,3.445,3.445,-,-1.57%
19-Oct-20,3.5,3.5,3.5,3.5,-,-2.10%
15-Oct-20,3.575,3.575,3.575,3.575,-,-9.72%
13-Oct-20,3.96,3.38,3.96,3.38,1.38K,6.45%
12-Oct-20,3.72,3.55,3.72,3.55,0.48K,-8.71%
7-Oct-20,4.075,4.11,4.11,4.075,6.71K,-1.21%
6-Oct-20,4.125,4.125,4.125,4.125,-,20.97%
5-Oct-20,3.41,3.54,3.54,3.39,0.61K,0.00%
2-Oct-20,3.41,3.41,3.41,3.41,-,-14.11%
30-Sep-20,3.97,4.18,4.18,3.97,0.43K,9.97%
29-Sep-20,3.61,3.38,3.98,3.38,1.79K,6.49%
28-Sep-20,3.39,3.39,3.39,3.39,-,1.04%
22-Sep-20,3.355,3.355,3.355,3.355,-,-9.32%
21-Sep-20,3.7,3.7,3.7,3.7,-,0.00%
18-Sep-20,3.7,3.7,3.7,3.7,-,-1.33%
17-Sep-20,3.75,3.75,3.75,3.75,-,19.81%
14-Sep-20,3.13,3.12,3.13,3.12,1.25K,-0.63%
11-Sep-20,3.15,3.32,3.925,3.15,3.02K,-19.02%
9-Sep-20,3.89,3.89,3.89,3.89,-,6.58%
3-Sep-20,3.65,3.635,3.65,3.635,0.27K,12.65%
2-Sep-20,3.24,3.447,3.45,3.24,3.13K,-38.52%
27-Aug-20,5.27,3.95,5.5,3.95,3.66K,27.29%
25-Aug-20,4.14,3.31,4.14,3.31,3.26K,18.62%
24-Aug-20,3.49,3.29,3.49,3.29,1.26K,-0.57%
20-Aug-20,3.51,3.731,3.731,3.51,3.83K,-5.65%
17-Aug-20,3.72,4.133,4.133,3.72,2.81K,6.29%
14-Aug-20,3.5,3.5,3.5,3.5,-,-16.47%
13-Aug-20,4.19,4.19,4.19,4.19,-,26.97%
12-Aug-20,3.3,3.7,3.7,3.3,0.28K,-7.56%
11-Aug-20,3.57,3.59,3.59,3.57,4.51K,-6.18%
6-Aug-20,3.805,3.97,3.97,3.59,2.65K,-4.40%
5-Aug-20,3.98,3.4,3.98,3.4,27.89K,-0.25%
4-Aug-20,3.99,3.99,3.99,3.99,-,-1.48%
3-Aug-20,4.05,4.25,4.25,3.791,3.31K,-4.71%
31-Jul-20,4.25,4.25,4.25,4.25,-,14.96%
24-Jul-20,3.697,4.25,4.25,3.6,0.68K,18.87%
22-Jul-20,3.11,3.11,3.11,3.11,-,-24.61%
21-Jul-20,4.125,4.125,4.125,4.125,-,-20.67%
20-Jul-20,5.2,4.35,5.2,4.35,0.87K,39.90%
17-Jul-20,3.717,4.4,4.4,3.717,0.56K,-11.50%
16-Jul-20,4.2,3.745,4.2,3.745,1.82K,-1.18%
15-Jul-20,4.25,4.35,4.35,4.25,0.48K,-2.30%
14-Jul-20,4.35,4.35,4.35,4.35,-,-10.42%
9-Jul-20,4.856,4.85,5,4.28,2.62K,-10.07%
8-Jul-20,5.4,4.3,5.4,4.29,1.53K,22.17%
7-Jul-20,4.42,4.42,4.42,4.42,-,-19.64%
6-Jul-20,5.5,3.16,5.5,3.16,9.83K,14.58%
2-Jul-20,4.8,3.75,5,3.75,1.97K,-3.81%
1-Jul-20,4.99,4.79,4.99,4.79,0.48K,0.60%
30-Jun-20,4.96,4.68,4.96,4.68,0.38K,9.49%
29-Jun-20,4.53,4.78,4.78,4.53,1.34K,5.84%
26-Jun-20,4.28,3.96,4.626,3.96,1.57K,-25.95%
25-Jun-20,5.78,4.262,6.1,3.86,71.24K,9.06%
24-Jun-20,5.3,3.772,7,3.63,9.15K,44.41%
23-Jun-20,3.67,3.58,4.227,3.58,6.72K,-11.35%
22-Jun-20,4.14,4.14,4.14,4.14,-,3.50%
19-Jun-20,4,4.08,4.08,3.95,3.11K,8.40%
18-Jun-20,3.69,3.55,3.69,3.55,115.04K,3.94%
17-Jun-20,3.55,3.55,3.55,3.55,-,2.60%
16-Jun-20,3.46,3.46,3.46,3.46,-,-0.57%
15-Jun-20,3.48,3.62,3.668,3.42,2.56K,-0.85%
10-Jun-20,3.51,3.61,3.61,3.51,300.00K,-13.12%
8-Jun-20,4.04,3.835,4.04,3.835,0.28K,1.25%
5-Jun-20,3.99,3.99,3.99,3.99,-,1.53%
3-Jun-20,3.93,3.87,3.93,3.87,0.57K,10.70%
1-Jun-20,3.55,3.55,3.55,3.55,-,3.20%
20-May-20,3.44,3.49,3.54,3.44,5.29K,1.06%
19-May-20,3.404,3.404,3.404,3.404,-,2.19%
15-May-20,3.331,3.331,3.331,3.331,-,7.11%
14-May-20,3.11,3.595,3.595,3.11,1.07K,-13.13%
13-May-20,3.58,3.56,3.58,3.56,22.21K,13.65%
12-May-20,3.15,3.15,3.15,3.15,-,-1.87%
11-May-20,3.21,3.31,3.53,3.21,18.16K,-10.83%
7-May-20,3.6,3.6,3.6,3.6,-,0.00%
6-May-20,3.6,3.53,3.6,3.53,0.92K,2.86%
5-May-20,3.5,3.28,3.7,3.23,19.92K,6.06%
4-May-20,3.3,3.58,3.58,3.25,19.12K,-5.44%
1-May-20,3.49,3.37,3.49,3.27,2.80K,0.87%
30-Apr-20,3.46,3.46,3.46,3.46,-,-0.86%
29-Apr-20,3.49,3.49,3.49,3.49,-,7.19%
27-Apr-20,3.256,3.36,3.36,3.25,140.21K,-9.56%
20-Apr-20,3.6,3.588,3.6,3.588,3.86K,3.75%
16-Apr-20,3.47,3.615,3.615,3.41,1.12K,-0.57%
15-Apr-20,3.49,3.63,3.63,3.49,0.73K,-9.35%
14-Apr-20,3.85,3.85,3.85,3.85,-,9.87%
13-Apr-20,3.504,3.64,3.64,3.36,8.59K,9.84%
9-Apr-20,3.19,3.24,3.587,3.18,53.21K,-14.41%
7-Apr-20,3.727,3.727,3.727,3.727,-,15.03%
3-Apr-20,3.24,3.57,3.57,3.24,49.85K,-10.50%
31-Mar-20,3.62,3.62,3.62,3.62,-,3.72%
30-Mar-20,3.49,3.455,3.49,3.38,11.71K,3.25%
27-Mar-20,3.38,3.21,3.38,3.21,1.30K,5.30%
25-Mar-20,3.21,3.16,3.21,3.16,1.65K,2.23%
24-Mar-20,3.14,3.25,3.6,3.14,17.36K,6.80%
23-Mar-20,2.94,2.89,3.065,2.89,12.02K,-4.55%
20-Mar-20,3.08,3.425,3.425,3.08,32.68K,-1.75%
19-Mar-20,3.135,2.92,3.135,2.92,0.63K,4.50%
18-Mar-20,3,3.38,3.38,3,0.49K,0.00%
17-Mar-20,3,3,3,3,-,-15.73%
16-Mar-20,3.56,3.17,3.56,3.17,0.53K,0.85%
13-Mar-20,3.53,3.58,3.58,3.53,0.38K,-3.81%
11-Mar-20,3.67,3.855,3.855,3.67,0.31K,-8.02%
10-Mar-20,3.99,3.69,3.99,3.69,2.00K,10.83%
9-Mar-20,3.6,3.805,3.805,3.6,0.60K,-12.41%
5-Mar-20,4.11,4.23,4.24,4.11,13.36K,2.49%
4-Mar-20,4.01,4.116,4.116,4.01,0.56K,3.30%
3-Mar-20,3.882,3.87,3.882,3.87,0.39K,1.09%
2-Mar-20,3.84,3.84,3.84,3.84,-,-3.52%
28-Feb-20,3.98,3.98,3.98,3.98,-,1.79%
27-Feb-20,3.91,3.86,3.91,3.86,0.37K,-0.76%
26-Feb-20,3.94,3.94,3.94,3.94,-,-1.01%
25-Feb-20,3.98,3.885,3.98,3.885,0.44K,1.53%
24-Feb-20,3.92,3.93,3.97,3.7,2.72K,-2.00%
21-Feb-20,4,4.04,4.05,4,2.95K,-0.74%
20-Feb-20,4.03,4.03,4.03,4.03,-,-4.73%
11-Feb-20,4.23,4.22,4.23,4.22,0.20K,0.21%
7-Feb-20,4.221,4.18,4.221,4.18,0.32K,1.22%
5-Feb-20,4.17,4.12,4.17,4.12,0.89K,-1.65%
4-Feb-20,4.24,4.07,4.24,4.07,0.98K,2.91%
3-Feb-20,4.12,4.08,4.12,4.08,0.64K,3.00%
31-Jan-20,4,4.22,4.22,4,0.70K,-5.88%
29-Jan-20,4.25,4.26,4.26,4.25,0.96K,0.64%
28-Jan-20,4.223,4.19,4.23,4.19,72.36K,0.55%
24-Jan-20,4.2,4.2,4.2,4.2,-,-1.87%
21-Jan-20,4.28,4.28,4.28,4.28,-,-0.47%
13-Jan-20,4.3,4.3,4.3,4.3,-,1.90%
10-Jan-20,4.22,4.27,4.27,4.22,1.89K,2.68%
8-Jan-20,4.11,4.11,4.11,4.11,-,-2.84%
7-Jan-20,4.23,4.23,4.23,4.23,-,0.48%
3-Jan-20,4.21,4.21,4.21,4.21,-,1.45%
30-Dec-19,4.15,4.26,4.26,4.15,1.30K,-3.38%
27-Dec-19,4.295,4.295,4.295,4.295,-,0.82%
24-Dec-19,4.26,4.051,4.26,4.051,3.75K,0.02%
20-Dec-19,4.259,4.22,4.259,4.1,1.05K,4.39%
19-Dec-19,4.08,4.19,4.19,4.08,3.20K,0.49%
18-Dec-19,4.06,4.06,4.06,4.06,-,-4.25%
17-Dec-19,4.24,4.125,4.24,4.125,0.25K,5.21%
16-Dec-19,4.03,4.125,4.125,4.03,0.78K,-4.05%
13-Dec-19,4.2,4.2,4.2,4.2,-,5.47%
12-Dec-19,3.982,3.97,3.982,3.97,1.25K,-1.68%
11-Dec-19,4.05,4,4.05,4,54.97K,-0.49%
9-Dec-19,4.07,4.067,4.07,4.067,1.71K,-2.16%
6-Dec-19,4.16,4.21,4.21,4.16,0.64K,2.97%
4-Dec-19,4.04,4.15,4.15,4.04,2.38K,-1.22%
25-Nov-19,4.09,4.09,4.09,4.09,-,0.00%
21-Nov-19,4.09,4.13,4.13,4.09,11.25K,0.99%
20-Nov-19,4.05,4.145,4.145,4.05,10.15K,-1.22%
18-Nov-19,4.1,4.23,4.23,4.1,0.37K,-1.70%
15-Nov-19,4.171,4.126,4.171,4.126,0.49K,2.99%
13-Nov-19,4.05,4.05,4.05,4.05,-,-4.48%
