Date,Adj Close,Open,High,Low,Vol.,Change %
10-Dec-20,5.02,5,5.03,4.95,656.50K,0.40%
9-Dec-20,5,5.03,5.06,4.99,2.87M,-0.60%
8-Dec-20,5.03,5,5.04,5,854.40K,0.80%
7-Dec-20,4.99,5,5.05,4.98,1.32M,0.00%
4-Dec-20,4.99,5.04,5.06,4.99,1.73M,-0.99%
3-Dec-20,5.04,4.92,5.06,4.92,2.09M,2.44%
2-Dec-20,4.92,4.99,4.99,4.91,4.92M,-0.40%
1-Dec-20,4.94,4.95,5.01,4.93,2.06M,0.82%
30-Nov-20,4.9,5.04,5.08,4.9,7.50M,-2.39%
27-Nov-20,5.02,5.14,5.14,5.02,1.82M,-2.71%
26-Nov-20,5.16,5.16,5.21,5.13,722.80K,0.00%
25-Nov-20,5.16,5.12,5.16,5.11,322.90K,1.18%
24-Nov-20,5.1,5.12,5.16,5.1,528.30K,-0.39%
23-Nov-20,5.12,5.1,5.18,5.08,1.12M,0.20%
20-Nov-20,5.11,5.05,5.14,5.04,743.60K,1.19%
19-Nov-20,5.05,5.17,5.17,5.05,1.46M,-1.56%
18-Nov-20,5.13,5.2,5.21,5.1,1.46M,-1.35%
17-Nov-20,5.2,5.18,5.2,5.12,636.20K,1.17%
16-Nov-20,5.14,5.15,5.2,5.1,1.06M,-1.15%
13-Nov-20,5.2,5.1,5.23,5.1,762.10K,0.00%
12-Nov-20,5.2,5.19,5.24,5.12,2.83M,0.19%
11-Nov-20,5.19,5.26,5.26,5.11,1.23M,-0.19%
10-Nov-20,5.2,5.28,5.28,5.18,3.07M,-1.89%
9-Nov-20,5.3,5.15,5.3,5.11,1.96M,2.91%
6-Nov-20,5.15,5,5.15,4.98,2.53M,2.59%
5-Nov-20,5.02,4.93,5.03,4.93,1.40M,1.83%
4-Nov-20,4.93,4.93,4.94,4.86,598.20K,0.82%
3-Nov-20,4.89,4.84,4.92,4.83,717.00K,1.03%
2-Nov-20,4.84,4.8,4.85,4.76,813.70K,0.83%
30-Oct-20,4.8,4.93,4.93,4.75,2.39M,-2.44%
28-Oct-20,4.92,4.95,4.99,4.9,1.19M,-0.81%
27-Oct-20,4.96,4.95,4.98,4.93,1.88M,0.61%
26-Oct-20,4.93,4.95,5,4.92,1.24M,-1.00%
23-Oct-20,4.98,4.99,4.99,4.94,250.60K,-0.20%
22-Oct-20,4.99,4.92,4.99,4.91,975.70K,1.42%
21-Oct-20,4.92,4.92,4.98,4.91,900.30K,0.20%
20-Oct-20,4.91,4.96,5,4.91,676.80K,-1.01%
19-Oct-20,4.96,4.95,4.98,4.92,1.03M,0.81%
16-Oct-20,4.92,5.02,5.03,4.92,1.07M,-1.99%
15-Oct-20,5.02,5,5.06,5,1.11M,-0.20%
14-Oct-20,5.03,5.1,5.1,5.02,1.69M,-1.76%
13-Oct-20,5.12,4.98,5.12,4.98,826.10K,1.79%
12-Oct-20,5.03,5.05,5.08,4.99,701.00K,-0.40%
9-Oct-20,5.05,5.09,5.1,5.01,1.58M,-0.79%
8-Oct-20,5.09,5,5.1,5,1.34M,1.19%
7-Oct-20,5.03,5.04,5.04,4.98,2.34M,-0.20%
6-Oct-20,5.04,4.9,5.07,4.9,1.05M,2.86%
5-Oct-20,4.9,4.94,4.96,4.89,1.16M,-0.41%
2-Oct-20,4.92,5.03,5.05,4.91,910.80K,-2.19%
1-Oct-20,5.03,5.02,5.06,5.02,358.70K,-0.98%
30-Sep-20,5.08,4.97,5.09,4.94,1.84M,2.63%
29-Sep-20,4.95,4.99,5,4.95,3.21M,-0.40%
28-Sep-20,4.97,5.01,5.01,4.94,1.22M,0.00%
25-Sep-20,4.97,5,5,4.94,1.41M,0.20%
24-Sep-20,4.96,5.05,5.05,4.96,1.65M,-1.78%
23-Sep-20,5.05,5.05,5.05,5,910.40K,0.20%
22-Sep-20,5.04,5.02,5.11,5.02,931.10K,0.40%
21-Sep-20,5.02,5.14,5.14,5.02,1.59M,-2.33%
18-Sep-20,5.14,5.05,5.14,5.04,3.12M,1.78%
17-Sep-20,5.05,5.1,5.1,5,1.34M,-1.56%
15-Sep-20,5.13,5.07,5.15,5.03,940.90K,1.18%
14-Sep-20,5.07,5.08,5.08,5.02,618.50K,-0.20%
11-Sep-20,5.08,5.06,5.12,4.99,1.87M,-0.78%
10-Sep-20,5.12,5.09,5.15,5.04,2.85M,1.59%
9-Sep-20,5.04,5.1,5.13,5.04,902.60K,-2.33%
8-Sep-20,5.16,5.1,5.16,5.03,1.14M,1.18%
7-Sep-20,5.1,5.01,5.1,5.01,371.60K,0.99%
4-Sep-20,5.05,5.04,5.1,4.99,1.27M,0.20%
3-Sep-20,5.04,5.05,5.1,4.95,2.75M,-1.18%
2-Sep-20,5.1,5.06,5.13,5.02,1.58M,0.79%
1-Sep-20,5.06,5.04,5.1,5,3.63M,1.20%
28-Aug-20,5,5.08,5.08,4.97,9.15M,-1.19%
27-Aug-20,5.06,5.08,5.09,5,1.85M,-0.39%
26-Aug-20,5.08,5.12,5.12,5,2.21M,-0.20%
25-Aug-20,5.09,5.06,5.11,5.03,1.51M,1.19%
24-Aug-20,5.03,5,5.08,4.98,1.10M,0.60%
21-Aug-20,5,4.99,5.02,4.99,1.65M,0.40%
19-Aug-20,4.98,5.01,5.04,4.96,2.05M,-0.60%
18-Aug-20,5.01,5.11,5.16,4.97,2.73M,-1.76%
17-Aug-20,5.1,5.12,5.18,5.09,1.50M,-0.39%
14-Aug-20,5.12,5.16,5.19,5.09,2.50M,-0.39%
13-Aug-20,5.14,5.14,5.16,5.1,804.20K,0.39%
