"Date","Adj Close","Open","High","Low","Vol.","Change %"
"Aug 19, 2020","1.910","1.920","1.940","1.900","655.20K","-2.05%"
"Aug 18, 2020","1.950","1.950","1.950","1.930","175.10K","1.04%"
"Aug 17, 2020","1.930","1.910","1.950","1.910","346.50K","1.05%"
"Aug 14, 2020","1.910","1.940","1.940","1.910","97.00K","-1.55%"
"Aug 13, 2020","1.940","1.940","1.940","1.910","178.70K","0.52%"
"Aug 12, 2020","1.930","1.890","1.940","1.870","402.60K","2.66%"
"Aug 11, 2020","1.880","1.900","1.900","1.880","311.60K","0.00%"
"Aug 10, 2020","1.880","1.890","1.910","1.880","161.70K","-1.57%"
"Aug 07, 2020","1.910","1.900","1.920","1.880","366.80K","-1.04%"
"Aug 06, 2020","1.930","1.900","1.930","1.900","299.70K","1.58%"
"Aug 05, 2020","1.900","1.950","1.950","1.890","218.90K","-0.52%"
"Aug 04, 2020","1.910","1.940","1.940","1.880","350.10K","-1.55%"
"Aug 03, 2020","1.940","1.900","1.950","1.850","734.70K","2.11%"
"Jul 30, 2020","1.900","1.940","1.950","1.890","716.30K","-1.55%"
"Jul 29, 2020","1.930","1.950","1.950","1.930","224.30K","-1.03%"
"Jul 28, 2020","1.950","1.940","1.950","1.940","333.30K","0.00%"
"Jul 27, 2020","1.950","1.950","1.970","1.940","208.90K","-0.51%"
"Jul 24, 2020","1.960","1.970","1.970","1.950","318.00K","-1.01%"
"Jul 23, 2020","1.980","1.970","1.990","1.970","124.80K","-0.50%"
"Jul 22, 2020","1.990","2.010","2.010","1.960","198.10K","-0.50%"
"Jul 21, 2020","2.000","1.950","2.040","1.950","344.90K","2.56%"
"Jul 20, 2020","1.950","1.960","1.970","1.940","232.10K","0.00%"
"Jul 17, 2020","1.950","1.930","1.970","1.920","304.70K","1.04%"
"Jul 16, 2020","1.930","1.990","1.990","1.930","731.60K","-3.02%"
"Jul 15, 2020","1.990","2.010","2.020","1.950","583.20K","-2.93%"
"Jul 14, 2020","2.050","2.110","2.110","2.040","500.20K","-2.38%"
"Jul 13, 2020","2.100","2.040","2.130","2.030","1.26M","2.94%"
"Jul 10, 2020","2.040","2.080","2.080","2.030","619.20K","-2.39%"
"Jul 09, 2020","2.090","2.080","2.100","2.050","520.50K","0.48%"
"Jul 08, 2020","2.080","2.000","2.090","2.000","1.56M","4.52%"
"Jul 07, 2020","1.990","1.920","1.990","1.910","1.49M","3.65%"
"Jul 06, 2020","1.920","1.910","1.920","1.900","363.90K","1.05%"
"Jul 03, 2020","1.900","1.920","1.920","1.900","199.40K","-0.52%"
"Jul 02, 2020","1.910","1.900","1.920","1.900","654.10K","0.53%"
"Jul 01, 2020","1.900","1.900","1.900","1.880","307.10K","0.00%"
"Jun 30, 2020","1.900","1.890","1.900","1.880","244.60K","0.00%"
"Jun 29, 2020","1.900","1.890","1.900","1.880","215.40K","0.53%"
"Jun 26, 2020","1.890","1.890","1.900","1.880","415.80K","0.00%"
"Jun 25, 2020","1.890","1.880","1.890","1.870","162.70K","0.53%"
"Jun 24, 2020","1.880","1.890","1.900","1.870","502.10K","0.00%"
"Jun 23, 2020","1.880","1.890","1.900","1.870","208.80K","0.00%"
"Jun 22, 2020","1.880","1.870","1.900","1.870","229.00K","0.00%"
"Jun 19, 2020","1.880","1.900","1.900","1.870","573.90K","-1.05%"
"Jun 18, 2020","1.900","1.910","1.910","1.870","482.90K","0.00%"
"Jun 17, 2020","1.900","1.900","1.930","1.870","2.15M","4.97%"
"Jun 16, 2020","1.810","1.760","1.810","1.760","267.70K","4.02%"
"Jun 15, 2020","1.740","1.830","1.830","1.730","964.80K","-4.92%"
"Jun 12, 2020","1.830","1.750","1.840","1.730","766.60K","-0.54%"
"Jun 11, 2020","1.840","1.910","1.910","1.840","705.20K","-4.66%"
"Jun 10, 2020","1.930","1.900","1.930","1.890","259.90K","1.05%"
"Jun 09, 2020","1.910","1.920","1.920","1.890","445.40K","1.06%"
"Jun 05, 2020","1.890","1.920","1.920","1.890","278.10K","-1.56%"
"Jun 04, 2020","1.920","1.930","1.930","1.910","316.80K","0.00%"
"Jun 03, 2020","1.920","1.910","1.930","1.900","342.50K","0.52%"
"Jun 02, 2020","1.910","1.910","1.920","1.880","357.30K","-0.52%"
"Jun 01, 2020","1.920","1.920","1.930","1.900","288.20K","0.00%"
"May 29, 2020","1.920","1.940","1.950","1.920","467.90K","0.00%"
"May 28, 2020","1.920","1.950","1.970","1.900","378.20K","-0.52%"
"May 27, 2020","1.930","1.900","1.950","1.890","1.23M","3.76%"
"May 22, 2020","1.860","1.910","1.910","1.810","1.60M","-2.11%"
"May 21, 2020","1.900","1.870","1.920","1.870","1.87M","2.15%"
"May 20, 2020","1.860","1.840","1.870","1.830","703.60K","1.09%"
"May 19, 2020","1.840","1.810","1.850","1.810","964.10K","2.22%"
"May 18, 2020","1.800","1.760","1.800","1.750","878.30K","2.27%"
"May 15, 2020","1.760","1.740","1.760","1.730","360.10K","1.15%"
"May 14, 2020","1.740","1.750","1.750","1.710","546.50K","-1.14%"
"May 13, 2020","1.760","1.750","1.760","1.720","503.20K","-0.56%"
"May 12, 2020","1.770","1.750","1.770","1.750","473.20K","1.14%"
"May 08, 2020","1.750","1.720","1.780","1.720","1.10M","1.74%"
"May 06, 2020","1.720","1.690","1.730","1.680","700.40K","2.38%"
"May 05, 2020","1.680","1.640","1.680","1.640","350.20K","2.44%"
"May 04, 2020","1.640","1.630","1.640","1.620","497.30K","1.23%"
"Apr 30, 2020","1.620","1.600","1.640","1.600","771.00K","1.25%"
"Apr 29, 2020","1.600","1.570","1.600","1.570","83.60K","0.00%"
"Apr 28, 2020","1.600","1.590","1.600","1.560","207.00K","0.63%"
"Apr 27, 2020","1.590","1.570","1.590","1.570","110.80K","0.00%"
"Apr 24, 2020","1.590","1.580","1.590","1.560","73.00K","0.00%"
"Apr 23, 2020","1.590","1.590","1.590","1.570","52.20K","0.00%"
"Apr 22, 2020","1.590","1.550","1.590","1.540","128.30K","0.00%"
"Apr 21, 2020","1.590","1.620","1.620","1.550","313.30K","-2.45%"
"Apr 20, 2020","1.630","1.630","1.650","1.600","359.00K","1.24%"
"Apr 17, 2020","1.610","1.580","1.610","1.580","602.80K","1.90%"
"Apr 16, 2020","1.580","1.540","1.580","1.540","145.40K","1.28%"
"Apr 15, 2020","1.560","1.550","1.570","1.550","237.20K","0.65%"
"Apr 14, 2020","1.550","1.530","1.550","1.530","196.40K","1.31%"
"Apr 13, 2020","1.530","1.540","1.540","1.520","114.20K","-1.29%"
"Apr 10, 2020","1.550","1.540","1.550","1.530","133.90K","0.00%"
"Apr 09, 2020","1.550","1.560","1.570","1.540","57.60K","0.00%"
"Apr 08, 2020","1.550","1.560","1.580","1.530","206.80K","-1.27%"
"Apr 07, 2020","1.570","1.520","1.570","1.520","814.50K","3.97%"
"Apr 06, 2020","1.510","1.500","1.520","1.480","277.70K","0.67%"
"Apr 03, 2020","1.500","1.490","1.520","1.480","206.80K","0.67%"
"Apr 02, 2020","1.490","1.470","1.500","1.470","474.30K","-0.67%"
"Apr 01, 2020","1.500","1.490","1.540","1.490","598.60K","0.67%"
"Mar 31, 2020","1.490","1.460","1.520","1.460","565.40K","3.47%"
"Mar 30, 2020","1.440","1.470","1.470","1.440","221.10K","-2.70%"
"Mar 27, 2020","1.480","1.450","1.500","1.450","437.10K","2.07%"
